,status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,day_month_year_published,month_year_published,year_published,month_published,time_published,positive_reactions,negative_reactions,hour_published,time_of_day_published,days_of_week,days_of_week(digits),day
33,34,photo,2018-03-07 04:46:00,125,1,0,116,8,1,0,0,0,2018-03-07,2018-03,2018,Mar,04:03,125,0,4,Late Night,Wednesday,3,Weekday
34,35,photo,2018-03-05 08:32:00,119,4,0,116,3,0,0,0,0,2018-03-05,2018-03,2018,Mar,08:03,119,0,8,Early Morning,Monday,1,Weekday
35,36,photo,2018-03-05 02:48:00,293,8,0,281,11,1,0,0,0,2018-03-05,2018-03,2018,Mar,02:03,293,0,2,Late Night,Monday,1,Weekday
36,37,video,2018-03-02 09:55:00,128,137,26,110,16,2,0,0,0,2018-03-02,2018-03,2018,Mar,09:03,128,0,9,Morning,Friday,5,Weekday
37,38,photo,2018-02-28 08:19:00,84,15,13,78,5,1,0,0,0,2018-02-28,2018-02,2018,Feb,08:02,84,0,8,Early Morning,Wednesday,3,Weekday
38,39,photo,2018-02-28 01:43:00,66,11,6,61,4,1,0,0,0,2018-02-28,2018-02,2018,Feb,01:02,66,0,1,Late Night,Wednesday,3,Weekday
39,40,video,2018-02-26 08:50:00,171,292,28,150,19,1,1,0,0,2018-02-26,2018-02,2018,Feb,08:02,170,1,8,Early Morning,Monday,1,Weekday
40,41,video,2018-02-25 10:13:00,90,72,23,79,10,1,0,0,0,2018-02-25,2018-02,2018,Feb,10:02,90,0,10,Morning,Sunday,0,Weekend
41,42,video,2018-02-21 00:19:00,139,39,9,121,16,1,1,0,0,2018-02-21,2018-02,2018,Feb,00:02,138,1,0,Late Night,Wednesday,3,Weekday
42,43,video,2018-02-19 00:11:00,236,181,21,201,33,0,1,0,1,2018-02-19,2018-02,2018,Feb,00:02,234,2,0,Late Night,Monday,1,Weekday
43,44,video,2018-02-18 07:15:00,225,210,34,193,30,0,2,0,0,2018-02-18,2018-02,2018,Feb,07:02,223,2,7,Early Morning,Sunday,0,Weekend
44,45,photo,2018-02-17 22:30:00,275,12,0,260,11,4,0,0,0,2018-02-17,2018-02,2018,Feb,22:02,275,0,22,Night,Saturday,6,Weekend
45,46,video,2018-02-17 04:15:00,372,456,37,334,31,1,1,1,4,2018-02-17,2018-02,2018,Feb,04:02,366,6,4,Late Night,Saturday,6,Weekend
46,47,photo,2018-02-15 03:47:00,445,9,0,419,23,3,0,0,0,2018-02-15,2018-02,2018,Feb,03:02,445,0,3,Late Night,Thursday,4,Weekday
47,48,video,2018-02-14 08:23:00,128,60,11,114,13,0,0,0,1,2018-02-14,2018-02,2018,Feb,08:02,127,1,8,Early Morning,Wednesday,3,Weekday
48,49,video,2018-02-13 01:16:00,186,235,46,163,19,0,3,0,1,2018-02-13,2018-02,2018,Feb,01:02,182,4,1,Late Night,Tuesday,2,Weekday
49,50,video,2018-02-12 03:28:00,309,444,36,254,42,2,8,3,0,2018-02-12,2018-02,2018,Feb,03:02,298,11,3,Late Night,Monday,1,Weekday
50,51,photo,2018-02-11 05:55:00,77,11,3,75,2,0,0,0,0,2018-02-11,2018-02,2018,Feb,05:02,77,0,5,Early Morning,Sunday,0,Weekend
51,52,video,2018-02-10 07:54:00,119,72,28,103,16,0,0,0,0,2018-02-10,2018-02,2018,Feb,07:02,119,0,7,Early Morning,Saturday,6,Weekend
52,53,photo,2018-02-09 01:48:00,100,21,13,95,5,0,0,0,0,2018-02-09,2018-02,2018,Feb,01:02,100,0,1,Late Night,Friday,5,Weekday
53,54,video,2018-02-08 09:14:00,240,255,111,193,44,1,1,0,1,2018-02-08,2018-02,2018,Feb,09:02,238,2,9,Morning,Thursday,4,Weekday
54,55,video,2018-02-07 08:35:00,164,136,48,146,15,2,0,1,0,2018-02-07,2018-02,2018,Feb,08:02,163,1,8,Early Morning,Wednesday,3,Weekday
55,56,video,2018-02-06 08:46:00,202,327,42,171,30,1,0,0,0,2018-02-06,2018-02,2018,Feb,08:02,202,0,8,Early Morning,Tuesday,2,Weekday
56,57,video,2018-02-05 09:20:00,211,284,46,186,25,0,0,0,0,2018-02-05,2018-02,2018,Feb,09:02,211,0,9,Morning,Monday,1,Weekday
57,58,video,2018-02-04 03:25:00,148,114,16,136,10,0,2,0,0,2018-02-04,2018-02,2018,Feb,03:02,146,2,3,Late Night,Sunday,0,Weekend
58,59,video,2018-02-03 08:34:00,97,81,16,84,13,0,0,0,0,2018-02-03,2018-02,2018,Feb,08:02,97,0,8,Early Morning,Saturday,6,Weekend
59,60,video,2018-02-02 09:24:00,279,292,34,254,20,3,1,1,0,2018-02-02,2018-02,2018,Feb,09:02,277,2,9,Morning,Friday,5,Weekday
60,61,photo,2018-02-02 07:08:00,263,8,0,245,14,4,0,0,0,2018-02-02,2018-02,2018,Feb,07:02,263,0,7,Early Morning,Friday,5,Weekday
61,62,video,2018-02-02 06:01:00,177,193,34,151,25,1,0,0,0,2018-02-02,2018-02,2018,Feb,06:02,177,0,6,Early Morning,Friday,5,Weekday
62,63,photo,2018-01-28 07:50:00,517,32,1,484,26,7,0,0,0,2018-01-28,2018-01,2018,Jan,07:01,517,0,7,Early Morning,Sunday,0,Weekend
63,64,video,2018-01-28 05:25:00,289,258,33,256,33,0,0,0,0,2018-01-28,2018-01,2018,Jan,05:01,289,0,5,Early Morning,Sunday,0,Weekend
64,65,photo,2018-01-26 13:03:00,66,13,0,65,1,0,0,0,0,2018-01-26,2018-01,2018,Jan,13:01,66,0,13,Noon,Friday,5,Weekday
65,66,photo,2018-01-26 13:02:00,112,6,0,104,8,0,0,0,0,2018-01-26,2018-01,2018,Jan,13:01,112,0,13,Noon,Friday,5,Weekday
66,67,video,2018-01-26 08:47:00,206,259,48,181,22,1,2,0,0,2018-01-26,2018-01,2018,Jan,08:01,204,2,8,Early Morning,Friday,5,Weekday
67,68,video,2018-01-25 08:40:00,362,468,86,305,56,0,0,1,0,2018-01-25,2018-01,2018,Jan,08:01,361,1,8,Early Morning,Thursday,4,Weekday
68,69,video,2018-01-23 09:04:00,184,130,51,161,23,0,0,0,0,2018-01-23,2018-01,2018,Jan,09:01,184,0,9,Morning,Tuesday,2,Weekday
69,70,video,2018-01-22 09:37:00,216,251,34,199,16,0,0,0,1,2018-01-22,2018-01,2018,Jan,09:01,215,1,9,Morning,Monday,1,Weekday
70,71,video,2018-01-22 09:15:00,57,0,0,56,1,0,0,0,0,2018-01-22,2018-01,2018,Jan,09:01,57,0,9,Morning,Monday,1,Weekday
71,72,video,2018-01-21 09:10:00,272,258,43,226,44,1,1,0,0,2018-01-21,2018-01,2018,Jan,09:01,271,1,9,Morning,Sunday,0,Weekend
72,73,video,2018-01-20 23:10:00,248,247,34,208,33,3,2,0,2,2018-01-20,2018-01,2018,Jan,23:01,244,4,23,Late Night,Saturday,6,Weekend
73,74,video,2018-01-20 09:08:00,132,89,40,110,20,1,0,0,1,2018-01-20,2018-01,2018,Jan,09:01,131,1,9,Morning,Saturday,6,Weekend
74,75,video,2018-01-19 09:16:00,226,341,41,196,30,0,0,0,0,2018-01-19,2018-01,2018,Jan,09:01,226,0,9,Morning,Friday,5,Weekday
75,76,video,2018-01-19 09:06:00,35,1,0,35,0,0,0,0,0,2018-01-19,2018-01,2018,Jan,09:01,35,0,9,Morning,Friday,5,Weekday
76,77,video,2018-01-18 08:54:00,219,316,36,170,46,3,0,0,0,2018-01-18,2018-01,2018,Jan,08:01,219,0,8,Early Morning,Thursday,4,Weekday
77,78,video,2018-01-18 05:08:00,94,1,1,94,0,0,0,0,0,2018-01-18,2018-01,2018,Jan,05:01,94,0,5,Early Morning,Thursday,4,Weekday
78,79,video,2018-01-17 09:29:00,259,368,50,234,25,0,0,0,0,2018-01-17,2018-01,2018,Jan,09:01,259,0,9,Morning,Wednesday,3,Weekday
79,80,video,2018-01-16 22:36:00,62,1,0,62,0,0,0,0,0,2018-01-16,2018-01,2018,Jan,22:01,62,0,22,Night,Tuesday,2,Weekday
80,81,video,2018-01-16 22:13:00,127,76,21,114,13,0,0,0,0,2018-01-16,2018-01,2018,Jan,22:01,127,0,22,Night,Tuesday,2,Weekday
81,82,video,2018-01-16 00:53:00,149,63,15,134,15,0,0,0,0,2018-01-16,2018-01,2018,Jan,00:01,149,0,0,Late Night,Tuesday,2,Weekday
82,83,video,2018-01-13 09:18:00,134,171,41,116,18,0,0,0,0,2018-01-13,2018-01,2018,Jan,09:01,134,0,9,Morning,Saturday,6,Weekend
83,84,video,2018-01-11 09:05:00,392,461,47,360,32,0,0,0,0,2018-01-11,2018-01,2018,Jan,09:01,392,0,9,Morning,Thursday,4,Weekday
84,85,video,2018-01-10 08:57:00,310,540,41,284,26,0,0,0,0,2018-01-10,2018-01,2018,Jan,08:01,310,0,8,Early Morning,Wednesday,3,Weekday
85,86,photo,2018-01-02 23:05:00,14,3,0,12,2,0,0,0,0,2018-01-02,2018-01,2018,Jan,23:01,14,0,23,Late Night,Tuesday,2,Weekday
86,87,photo,2017-12-26 06:23:00,293,6,1,275,15,3,0,0,0,2017-12-26,2017-12,2017,Dec,06:12,293,0,6,Early Morning,Tuesday,2,Weekday
87,88,photo,2017-12-24 10:28:00,236,12,0,226,8,1,1,0,0,2017-12-24,2017-12,2017,Dec,10:12,235,1,10,Morning,Sunday,0,Weekend
88,89,photo,2017-12-21 08:14:00,312,10,0,291,18,3,0,0,0,2017-12-21,2017-12,2017,Dec,08:12,312,0,8,Early Morning,Thursday,4,Weekday
89,90,photo,2017-12-10 23:28:00,24,12,0,24,0,0,0,0,0,2017-12-10,2017-12,2017,Dec,23:12,24,0,23,Late Night,Sunday,0,Weekend
90,91,link,2017-12-08 02:37:00,16,9,0,15,1,0,0,0,0,2017-12-08,2017-12,2017,Dec,02:12,16,0,2,Late Night,Friday,5,Weekday
91,92,photo,2017-12-07 06:41:00,33,12,0,32,1,0,0,0,0,2017-12-07,2017-12,2017,Dec,06:12,33,0,6,Early Morning,Thursday,4,Weekday
92,93,photo,2017-12-05 01:25:00,675,10,0,645,29,1,0,0,0,2017-12-05,2017-12,2017,Dec,01:12,675,0,1,Late Night,Tuesday,2,Weekday
93,94,photo,2017-12-04 08:28:00,737,18,0,697,31,9,0,0,0,2017-12-04,2017-12,2017,Dec,08:12,737,0,8,Early Morning,Monday,1,Weekday
94,95,photo,2017-12-03 01:40:00,572,16,0,554,16,2,0,0,0,2017-12-03,2017-12,2017,Dec,01:12,572,0,1,Late Night,Sunday,0,Weekend
95,96,photo,2017-11-22 22:14:00,23,7,0,20,3,0,0,0,0,2017-11-22,2017-11,2017,Nov,22:11,23,0,22,Night,Wednesday,3,Weekday
96,97,photo,2017-11-21 01:37:00,266,25,0,250,11,5,0,0,0,2017-11-21,2017-11,2017,Nov,01:11,266,0,1,Late Night,Tuesday,2,Weekday
97,98,video,2017-11-21 00:22:00,378,512,30,348,27,2,0,0,1,2017-11-21,2017-11,2017,Nov,00:11,377,1,0,Late Night,Tuesday,2,Weekday
98,99,video,2017-11-18 22:32:00,421,709,30,373,45,2,0,1,0,2017-11-18,2017-11,2017,Nov,22:11,420,1,22,Night,Saturday,6,Weekend
99,100,video,2017-11-18 01:23:00,1493,1979,753,1333,139,9,3,8,1,2017-11-18,2017-11,2017,Nov,01:11,1481,12,1,Late Night,Saturday,6,Weekend
100,101,photo,2017-11-16 00:01:00,76,17,0,76,0,0,0,0,0,2017-11-16,2017-11,2017,Nov,00:11,76,0,0,Late Night,Thursday,4,Weekday
101,102,photo,2017-11-09 00:32:00,36,11,0,34,2,0,0,0,0,2017-11-09,2017-11,2017,Nov,00:11,36,0,0,Late Night,Thursday,4,Weekday
102,103,photo,2017-11-02 21:22:00,19,8,0,18,0,0,1,0,0,2017-11-02,2017-11,2017,Nov,21:11,18,1,21,Night,Thursday,4,Weekday
103,104,photo,2017-10-30 23:46:00,27,10,0,27,0,0,0,0,0,2017-10-30,2017-10,2017,Oct,23:10,27,0,23,Late Night,Monday,1,Weekday
104,105,photo,2017-10-26 12:02:00,117,2,53,108,9,0,0,0,0,2017-10-26,2017-10,2017,Oct,12:10,117,0,12,Noon,Thursday,4,Weekday
105,106,photo,2017-10-26 11:53:00,146,1,0,145,1,0,0,0,0,2017-10-26,2017-10,2017,Oct,11:10,146,0,11,Morning,Thursday,4,Weekday
106,107,photo,2017-10-25 22:45:00,166,0,13,151,7,0,0,8,0,2017-10-25,2017-10,2017,Oct,22:10,158,8,22,Night,Wednesday,3,Weekday
107,108,photo,2017-10-25 22:29:00,190,0,31,171,0,0,0,19,0,2017-10-25,2017-10,2017,Oct,22:10,171,19,22,Night,Wednesday,3,Weekday
108,109,photo,2017-10-24 03:55:00,217,16,0,213,4,0,0,0,0,2017-10-24,2017-10,2017,Oct,03:10,217,0,3,Late Night,Tuesday,2,Weekday
109,110,photo,2017-10-24 01:20:00,458,14,0,451,3,4,0,0,0,2017-10-24,2017-10,2017,Oct,01:10,458,0,1,Late Night,Tuesday,2,Weekday
110,111,photo,2017-10-23 03:52:00,553,15,0,538,12,3,0,0,0,2017-10-23,2017-10,2017,Oct,03:10,553,0,3,Late Night,Monday,1,Weekday
111,112,photo,2017-10-23 03:23:00,203,18,11,190,7,6,0,0,0,2017-10-23,2017-10,2017,Oct,03:10,203,0,3,Late Night,Monday,1,Weekday
112,113,photo,2017-10-22 00:38:00,1005,25,1,979,16,9,1,0,0,2017-10-22,2017-10,2017,Oct,00:10,1004,1,0,Late Night,Sunday,0,Weekend
113,114,video,2017-10-21 23:43:00,202,145,23,182,19,0,0,0,1,2017-10-21,2017-10,2017,Oct,23:10,201,1,23,Late Night,Saturday,6,Weekend
114,115,photo,2017-10-21 03:19:00,428,14,0,419,4,5,0,0,0,2017-10-21,2017-10,2017,Oct,03:10,428,0,3,Late Night,Saturday,6,Weekend
115,116,photo,2017-10-20 06:37:00,479,17,0,462,10,7,0,0,0,2017-10-20,2017-10,2017,Oct,06:10,479,0,6,Early Morning,Friday,5,Weekday
116,117,video,2017-10-20 03:19:00,212,116,11,201,10,1,0,0,0,2017-10-20,2017-10,2017,Oct,03:10,212,0,3,Late Night,Friday,5,Weekday
117,118,video,2017-10-19 02:44:00,225,157,17,211,14,0,0,0,0,2017-10-19,2017-10,2017,Oct,02:10,225,0,2,Late Night,Thursday,4,Weekday
118,119,video,2017-10-18 09:13:00,171,46,5,156,12,2,1,0,0,2017-10-18,2017-10,2017,Oct,09:10,170,1,9,Morning,Wednesday,3,Weekday
119,120,video,2017-10-18 02:33:00,247,120,16,232,14,1,0,0,0,2017-10-18,2017-10,2017,Oct,02:10,247,0,2,Late Night,Wednesday,3,Weekday
120,121,video,2017-10-17 05:37:00,269,453,39,242,26,1,0,0,0,2017-10-17,2017-10,2017,Oct,05:10,269,0,5,Early Morning,Tuesday,2,Weekday
121,122,video,2017-10-17 02:36:00,258,486,32,235,23,0,0,0,0,2017-10-17,2017-10,2017,Oct,02:10,258,0,2,Late Night,Tuesday,2,Weekday
122,123,photo,2017-10-17 01:47:00,109,2,1,104,5,0,0,0,0,2017-10-17,2017-10,2017,Oct,01:10,109,0,1,Late Night,Tuesday,2,Weekday
123,124,photo,2017-10-16 22:47:00,97,5,0,96,0,1,0,0,0,2017-10-16,2017-10,2017,Oct,22:10,97,0,22,Night,Monday,1,Weekday
124,125,video,2017-10-16 06:37:00,280,199,25,254,24,2,0,0,0,2017-10-16,2017-10,2017,Oct,06:10,280,0,6,Early Morning,Monday,1,Weekday
125,126,video,2017-10-16 05:25:00,325,77,21,293,30,1,1,0,0,2017-10-16,2017-10,2017,Oct,05:10,324,1,5,Early Morning,Monday,1,Weekday
126,127,photo,2017-10-15 22:58:00,51,11,0,51,0,0,0,0,0,2017-10-15,2017-10,2017,Oct,22:10,51,0,22,Night,Sunday,0,Weekend
127,128,video,2017-10-15 02:27:00,280,825,47,243,35,1,1,0,0,2017-10-15,2017-10,2017,Oct,02:10,279,1,2,Late Night,Sunday,0,Weekend
128,129,video,2017-10-14 10:37:00,688,0,0,632,34,0,0,22,0,2017-10-14,2017-10,2017,Oct,10:10,666,22,10,Morning,Saturday,6,Weekend
129,130,video,2017-10-14 03:35:00,365,805,46,320,39,1,3,0,2,2017-10-14,2017-10,2017,Oct,03:10,360,5,3,Late Night,Saturday,6,Weekend
130,131,photo,2017-10-12 21:43:00,295,5,0,295,0,0,0,0,0,2017-10-12,2017-10,2017,Oct,21:10,295,0,21,Night,Thursday,4,Weekday
131,132,photo,2017-10-11 22:21:00,27,14,0,26,1,0,0,0,0,2017-10-11,2017-10,2017,Oct,22:10,27,0,22,Night,Wednesday,3,Weekday
132,133,photo,2017-10-06 08:04:00,15,11,0,15,0,0,0,0,0,2017-10-06,2017-10,2017,Oct,08:10,15,0,8,Early Morning,Friday,5,Weekday
133,134,photo,2017-10-04 23:19:00,16,12,0,16,0,0,0,0,0,2017-10-04,2017-10,2017,Oct,23:10,16,0,23,Late Night,Wednesday,3,Weekday
134,135,photo,2017-10-01 03:31:00,29,12,0,29,0,0,0,0,0,2017-10-01,2017-10,2017,Oct,03:10,29,0,3,Late Night,Sunday,0,Weekend
135,136,video,2017-10-01 01:05:00,28,6,0,28,0,0,0,0,0,2017-10-01,2017-10,2017,Oct,01:10,28,0,1,Late Night,Sunday,0,Weekend
136,137,photo,2017-09-28 23:21:00,8,8,0,8,0,0,0,0,0,2017-09-28,2017-09,2017,Sep,23:09,8,0,23,Late Night,Thursday,4,Weekday
137,138,photo,2017-09-28 00:12:00,10,9,0,10,0,0,0,0,0,2017-09-28,2017-09,2017,Sep,00:09,10,0,0,Late Night,Thursday,4,Weekday
138,139,photo,2017-09-26 22:39:00,39,8,0,39,0,0,0,0,0,2017-09-26,2017-09,2017,Sep,22:09,39,0,22,Night,Tuesday,2,Weekday
139,140,photo,2017-09-25 22:52:00,49,11,0,47,2,0,0,0,0,2017-09-25,2017-09,2017,Sep,22:09,49,0,22,Night,Monday,1,Weekday
140,141,video,2017-09-24 01:58:00,226,449,37,189,25,1,1,10,0,2017-09-24,2017-09,2017,Sep,01:09,215,11,1,Late Night,Sunday,0,Weekend
141,142,video,2017-09-24 01:52:00,104,49,13,91,12,0,0,1,0,2017-09-24,2017-09,2017,Sep,01:09,103,1,1,Late Night,Sunday,0,Weekend
142,143,photo,2017-09-23 03:56:00,251,17,0,244,7,0,0,0,0,2017-09-23,2017-09,2017,Sep,03:09,251,0,3,Late Night,Saturday,6,Weekend
143,144,video,2017-09-23 00:09:00,244,589,48,213,29,1,1,0,0,2017-09-23,2017-09,2017,Sep,00:09,243,1,0,Late Night,Saturday,6,Weekend
144,145,video,2017-09-22 08:48:00,252,558,41,204,45,1,1,0,1,2017-09-22,2017-09,2017,Sep,08:09,250,2,8,Early Morning,Friday,5,Weekday
145,146,video,2017-09-21 08:22:00,121,15,4,114,4,2,1,0,0,2017-09-21,2017-09,2017,Sep,08:09,120,1,8,Early Morning,Thursday,4,Weekday
146,147,photo,2017-09-21 01:50:00,321,5,0,307,11,2,1,0,0,2017-09-21,2017-09,2017,Sep,01:09,320,1,1,Late Night,Thursday,4,Weekday
147,148,photo,2017-09-21 00:26:00,103,8,3,99,4,0,0,0,0,2017-09-21,2017-09,2017,Sep,00:09,103,0,0,Late Night,Thursday,4,Weekday
148,149,video,2017-09-20 23:43:00,136,31,16,122,14,0,0,0,0,2017-09-20,2017-09,2017,Sep,23:09,136,0,23,Late Night,Wednesday,3,Weekday
149,150,video,2017-09-20 21:25:00,337,247,27,300,35,1,1,0,0,2017-09-20,2017-09,2017,Sep,21:09,336,1,21,Night,Wednesday,3,Weekday
150,151,photo,2017-09-20 09:47:00,648,13,0,627,18,3,0,0,0,2017-09-20,2017-09,2017,Sep,09:09,648,0,9,Morning,Wednesday,3,Weekday
151,152,video,2017-09-20 00:19:00,175,157,14,157,18,0,0,0,0,2017-09-20,2017-09,2017,Sep,00:09,175,0,0,Late Night,Wednesday,3,Weekday
152,153,video,2017-09-19 07:39:00,339,424,36,296,38,1,4,0,0,2017-09-19,2017-09,2017,Sep,07:09,335,4,7,Early Morning,Tuesday,2,Weekday
153,154,photo,2017-09-19 06:44:00,341,3,0,331,8,2,0,0,0,2017-09-19,2017-09,2017,Sep,06:09,341,0,6,Early Morning,Tuesday,2,Weekday
154,155,video,2017-09-19 00:40:00,177,131,27,150,27,0,0,0,0,2017-09-19,2017-09,2017,Sep,00:09,177,0,0,Late Night,Tuesday,2,Weekday
155,156,photo,2017-09-13 03:48:00,201,0,0,195,4,2,0,0,0,2017-09-13,2017-09,2017,Sep,03:09,201,0,3,Late Night,Wednesday,3,Weekday
156,157,photo,2017-09-12 22:34:00,43,7,0,41,2,0,0,0,0,2017-09-12,2017-09,2017,Sep,22:09,43,0,22,Night,Tuesday,2,Weekday
157,158,photo,2017-09-11 06:14:00,40,7,0,39,1,0,0,0,0,2017-09-11,2017-09,2017,Sep,06:09,40,0,6,Early Morning,Monday,1,Weekday
158,159,photo,2017-09-07 22:52:00,58,14,0,57,1,0,0,0,0,2017-09-07,2017-09,2017,Sep,22:09,58,0,22,Night,Thursday,4,Weekday
159,160,video,2017-09-07 04:21:00,403,525,42,363,36,1,3,0,0,2017-09-07,2017-09,2017,Sep,04:09,400,3,4,Late Night,Thursday,4,Weekday
160,161,photo,2017-09-07 02:02:00,148,4,3,144,4,0,0,0,0,2017-09-07,2017-09,2017,Sep,02:09,148,0,2,Late Night,Thursday,4,Weekday
161,162,photo,2017-09-06 23:14:00,150,24,2,144,6,0,0,0,0,2017-09-06,2017-09,2017,Sep,23:09,150,0,23,Late Night,Wednesday,3,Weekday
162,163,photo,2017-09-06 07:33:00,53,12,0,53,0,0,0,0,0,2017-09-06,2017-09,2017,Sep,07:09,53,0,7,Early Morning,Wednesday,3,Weekday
163,164,status,2017-09-06 06:22:00,144,15,8,140,4,0,0,0,0,2017-09-06,2017-09,2017,Sep,06:09,144,0,6,Early Morning,Wednesday,3,Weekday
